函数,算法,最优值,平均值,标准差,平均时间(s)
F1,AHHO,7.985936e+04,9.756842e+04,1.089937e+04,51.72
F1,CPO,7.985936e+04,7.985936e+04,0.000000e+00,32.34
F1,DE,7.985936e+04,7.985936e+04,0.000000e+00,59.87
F1,EHO,7.985936e+04,8.011241e+04,7.591534e+02,44.85
F1,GA,7.985936e+04,8.288073e+04,4.484304e+03,61.25
F1,GGO,7.985936e+04,7.985936e+04,0.000000e+00,32.36
F1,HC,1.415432e+05,2.867393e+05,2.501817e+05,32.43
F1,HHO,7.985936e+04,1.142259e+05,2.850591e+04,51.73
F1,HO,7.985936e+04,8.036546e+04,1.012205e+03,39.16
F1,OIO,2.362918e+03,4.101847e+03,1.086555e+03,22.49
F1,PSO,8.238987e+04,9.198201e+04,1.226364e+04,32.37
F1,PSO-GWO,8.238987e+04,1.285752e+05,7.924859e+04,56.34
F1,QSO,7.985936e+04,8.011241e+04,7.591534e+02,32.33
F1,SA,9.568975e+04,2.049171e+05,1.164162e+05,44.90
F1,WO,7.985936e+04,7.985936e+04,0.000000e+00,32.36
F1,WOA,7.985936e+04,1.172621e+05,3.887575e+04,50.05
F10,AHHO,2.709938e+03,3.333521e+03,6.048170e+02,169.77
F10,CPO,2.709938e+03,2.709938e+03,0.000000e+00,116.68
F10,DE,2.709938e+03,2.730036e+03,6.029279e+01,189.08
F10,EHO,2.709938e+03,2.750133e+03,8.039039e+01,153.70
F10,GA,2.709938e+03,2.821536e+03,1.611998e+02,192.97
F10,GGO,2.709938e+03,2.709938e+03,0.000000e+00,116.72
F10,HC,2.756416e+03,3.524292e+03,6.810958e+02,116.87
F10,HHO,2.709938e+03,3.347123e+03,4.502203e+02,169.72
F10,HO,2.709938e+03,2.709938e+03,0.000000e+00,137.23
F10,OIO,-2.785280e+01,1.203183e+03,6.429105e+02,76.07
F10,PSO,2.709938e+03,2.990931e+03,3.335208e+02,116.69
F10,PSO-GWO,2.709938e+03,3.081734e+03,4.096220e+02,178.56
F10,QSO,2.709938e+03,2.714586e+03,1.394348e+01,116.70
F10,SA,2.756416e+03,3.022640e+03,3.171628e+02,153.80
F10,WO,2.709938e+03,2.709938e+03,0.000000e+00,116.75
F10,WOA,2.709938e+03,3.328257e+03,6.957639e+02,165.88
F11,AHHO,3.523276e+03,4.297882e+03,6.913510e+02,275.36
F11,CPO,3.523276e+03,3.523276e+03,4.547474e-13,193.95
F11,DE,3.523276e+03,3.523276e+03,4.547474e-13,312.35
F11,EHO,3.523276e+03,3.523276e+03,4.547474e-13,251.58
